Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,11292,2023-02-23,-0.239735147,-0.206745378,-0.180717627,21,100
Market-Adjusted Model,11293,2023-02-23,-0.131530601,-0.079029259,-0.072513081,21,100
Market-Adjusted Model,11308,2023-02-23,-0.01015483,0.0503814436,0.0488626895,21,100
Market-Adjusted Model,11368,2023-02-23,-0.113513509,-0.053936044,-0.05449599,21,100
Market-Adjusted Model,11369,2023-02-23,-0.117563047,-0.062796804,-0.058545528,21,100
Market-Adjusted Model,11370,2023-02-23,-0.14625303,-0.096158072,-0.087235511,21,100
Market-Adjusted Model,11379,2023-02-23,-0.116714684,-0.057502532,-0.057697165,21,100
Market-Adjusted Model,11394,2023-02-23,-0.36269427,-0.34460049,-0.30367675,21,100
Market-Adjusted Model,11397,2023-02-23,-0.118505029,-0.064001622,-0.059487509,21,100
Market-Adjusted Model,11403,2023-02-23,0.0428502698,0.1062192874,0.1018677891,21,100
Market-Adjusted Model,11404,2023-02-23,-0.012314316,0.0488492761,0.0467032033,21,100
Market-Adjusted Model,11407,2023-02-23,-0.112998446,-0.057207995,-0.053980927,21,100
Market-Adjusted Model,11442,2023-02-23,-0.080149252,-0.022272838,-0.021131733,21,100
Market-Adjusted Model,11481,2023-02-23,-0.171767006,-0.11357265,-0.112749486,21,100
Market-Adjusted Model,11499,2023-02-23,0.0497613867,0.1150245759,0.108778906,21,100
Market-Adjusted Model,11511,2023-02-23,-0.017241445,0.0465900771,0.0417760743,21,100
Market-Adjusted Model,11533,2023-02-23,0.0278953865,0.0886987936,0.0869129059,21,100
Market-Adjusted Model,11547,2023-02-23,-0.090022739,-0.030835231,-0.03100522,21,100
Market-Adjusted Model,11565,2023-02-23,-0.150710344,-0.098989936,-0.091692824,21,100
Market-Adjusted Model,11581,2023-02-23,0.0169491923,0.0785108364,0.0759667116,21,100
Market-Adjusted Model,11587,2023-02-23,-0.12439146,-0.057405163,-0.06537394,21,100
Market-Adjusted Model,11593,2023-02-23,-0.064066858,-0.005165095,-0.005049339,21,100
Market-Adjusted Model,11600,2023-02-23,-0.040113851,0.0270790294,0.0189036685,21,100
Market-Adjusted Model,11618,2023-02-23,-0.025804059,0.0354561442,0.0332134605,21,100
Market-Adjusted Model,11628,2023-02-23,-0.136623836,-0.083715723,-0.077606317,21,100
Market-Adjusted Model,11636,2023-02-23,-0.249180326,-0.199882342,-0.190162806,21,100
Market-Adjusted Model,11644,2023-02-23,-0.021037043,0.0564837615,0.0379804765,21,100
Market-Adjusted Model,11654,2023-02-23,0.0665111574,0.1335141816,0.1255286767,21,100
Market-Adjusted Model,11664,2023-02-23,-0.084432733,-0.022469446,-0.025415214,21,100
Market-Adjusted Model,11674,2023-02-23,-0.061384186,-0.001947888,-0.002366667,21,100
Market-Adjusted Model,11691,2023-02-23,-0.079919988,-0.019002793,-0.020902469,21,100
Market-Adjusted Model,11701,2023-02-23,0.012881604,0.07377274,0.0718991233,21,100
Market-Adjusted Model,11731,2023-02-23,-0.144577226,-0.093471065,-0.085559706,21,100
Market-Adjusted Model,11748,2023-02-23,-0.046278912,0.0161916853,0.0127386071,21,100
Market-Adjusted Model,11752,2023-02-23,-0.089066054,-0.026069692,-0.030048535,21,100
Market-Adjusted Model,11762,2023-02-23,0.0651990152,0.1246574136,0.1242165345,21,100
Market-Adjusted Model,11775,2023-02-23,-0.072891258,-0.012857693,-0.013873739,21,100
Market-Adjusted Model,11786,2023-02-23,-0.672058119,-0.727636918,-0.6130406,21,100
Market-Adjusted Model,11790,2023-02-23,-0.062058718,-0.002601182,-0.003041199,21,100
Market-Adjusted Model,11803,2023-02-23,-0.124640475,-0.069432234,-0.065622955,21,100
Market-Adjusted Model,11809,2023-02-23,0.03724088,0.0972616223,0.0962583993,21,100
Market-Adjusted Model,11844,2023-02-23,-0.094276112,-0.03785037,-0.035258592,21,100
Market-Adjusted Model,11845,2023-02-23,-0.025929551,0.0353887007,0.0330879682,21,100
Market-Adjusted Model,11850,2023-02-23,-0.043047134,0.0181536573,0.0159703851,21,100
Market-Adjusted Model,11884,2023-02-23,0.1423205526,0.2008784492,0.2013380719,21,100
